name,categories
Steak 'n Shake,"Burger Joint,American Restaurants,Breakfast,American Restaurant,Fast Food Restaurant,Traditional American,Fast Food Restaurants,Hamburgers,Restaurants"
Moe's Southwest Grill,"Carry-out food,Caterers,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Mexican restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,American Restaurants,Family style restaurants,Catering"
Shambala Bakery and Bistro,"Gluten-free,Caterers,Delicatessens,American,Organic,Bakery,Ovo,Health Food Restaurants,Vegan-friendly,Non-veg,Restaurants,Pizza,American Restaurants,Take-out,Vegan Restaurants,Lacto,Fast food,Bakeries,International,Sandwich Shops"
Wendy's,Fast Food
Domino's Pizza,"Pizza,Restaurant,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants"
Best Burgers,"Ice Cream and Frozen Desserts,American Restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants"
SUBWAY,"Delis And Delicatessens,Restaurant,Fast Food Restaurant,Sandwich Place,Restaurants,Sandwich Shops"
Burger King,"Restaurant,Burger Joint,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food,Fast food restaurants,Restaurants"
McDonald's,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops"
Rock Top Burgers Brew,"American Restaurants,Hot Dog Stands and Restaurants,Burgers,Fast Food Restaurants,Health Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Vegetarian Restaurants,Restaurants"
Jack in the Box,"Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,American restaurants,Fast Food Restaurants,Fast Food,Restaurants,Restaurant,Burger Joint,Fast Food Restaurant,Chicken,Hamburgers and Hot Dogs,Hamburgers"
Quiznos,"Carry-out food,Caterers,Delicatessens,American restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants,Delis And Delicatessens,Restaurant,American Restaurants,Sandwiches,Catering,Sandwich Shops"
Sonic Drive-In,"American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants"
Domino's Pizza,"Pizza,Fast Food Restaurants,Restaurants,Take Out Restaurants"
Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops"
Domino's Pizza,"Pizza,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants"
Nattamit Thai Restaurant,"Asian Restaurants,Caterers,Thai Restaurants,Thai restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants"
Penn Station East Coast Subs,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,American Restaurant,wich Place,Take Out Restaurants,Restaurants,Sandwich Shops"
Wendy's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
Taco Bell,"Mexican Restaurant,Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Fast Food Restaurants,Karaoke,Restaurants"
Burger King,"Fast Food Restaurant,Fast Food"
KFC,"Carry-out food,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,Karaoke,Barbecue,Spare rib restaurants,Chicken restaurants,Restaurants"
Arby's,"Restaurant,Carry-out food,American restaurants,Fast Food Restaurants,Karaoke,Restaurants,Sandwich Shops"
Firehouse Subs,"Carry-out food,Restaurant,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops"
McDonald's,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Restaurant,Coffeehouses,Salads,Pendleton Restaurants,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops"
Famous Dave's,"Carry-out food,Barbecued poultry,Steak and chop restaurants,American restaurants,Fast Food Restaurants,Take Out Restaurants,Barbecue,Barbecue Restaurants,Family Style Restaurants,Spare rib restaurants,Chicken restaurants,Restaurants"
